Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
346.9072,-0.3427734,0.7851563,0.5507813,-37.90625,26.34375,18.65625,0,0,0,0,0,0,144.9694,144.9694
346.9402,-0.3427734,0.7851563,0.5507813,-37.90625,26.34375,18.65625,0,0,0,0,0,0,141.8289,141.8289
346.9739,-0.1933594,0.8037109,0.4296875,-38.65625,12.9375,14.21875,0,0,0,0,0,0,141.8289,141.8289
346.9775,-0.1933594,0.8037109,0.4296875,-38.65625,12.9375,14.21875,0,0,0,0,0,0,141.8289,141.8289
347.0133,-0.1933594,0.8037109,0.4296875,-38.65625,12.9375,14.21875,0,0,0,0,0,0,132.1899,132.1899
347.0451,-0.3935547,0.9130859,0.4941406,-27,-3.4375,13.28125,0,0,0,0,0,0,132.1899,132.1899
347.0784,-0.3935547,0.9130859,0.4941406,-27,-3.4375,13.28125,0,0,0,0,0,0,128.3369,128.3369
347.1114,-0.2685547,0.6826172,0.3476563,-31.75,-3.625,27.5625,0,0,0,0,0,0,128.3369,128.3369
347.1446,-0.2685547,0.6826172,0.3476563,-31.75,-3.625,27.5625,0,0,0,0,0,0,123.4569,123.4569
347.1789,-0.1396484,0.6689453,0.4853516,-21,-9.65625,11.40625,0,0,0,0,0,0,123.4569,123.4569
347.2112,-0.1396484,0.6689453,0.4853516,-21,-9.65625,11.40625,0,0,0,0,0,0,119.4563,119.4563
347.2451,-0.1396484,0.6689453,0.4853516,-21,-9.65625,11.40625,0,0,0,0,0,0,119.4563,119.4563
347.2782,-0.2246094,0.7353516,0.640625,-21,-8.1875,23.78125,0,0,0,0,0,0,118.0376,118.0376
347.3109,-0.2246094,0.7353516,0.640625,-21,-8.1875,23.78125,0,0,0,0,0,0,118.0376,118.0376
347.3451,-0.1914063,0.6210938,0.6191406,-26.8125,-6.1875,19.09375,0,0,0,0,0,0,118.0376,118.0376
347.3802,-0.1914063,0.6210938,0.6191406,-26.8125,-6.1875,19.09375,0,0,0,0,0,0,115.0551,115.0551
347.4132,0.03222656,0.6142578,0.6367188,-41.40625,0.65625,17,0,0,0,0,0,0,115.0551,115.0551
347.4571,0.08007813,0.6484375,0.6767578,-48.21875,15.84375,16.9375,0,0,0,0,0,0,102.7623,102.7624
347.4775,-0.07324219,0.6708984,0.6738281,-59.71875,42.96875,11.21875,0,0,0,0,0,0,102.7623,102.7624
347.5127,-0.07324219,0.6708984,0.6738281,-59.71875,42.96875,11.21875,0,0,0,0,0,0,96.80608,96.80608
347.5471,-0.07324219,0.6708984,0.6738281,-59.71875,42.96875,11.21875,0,0,0,0,0,0,96.80608,96.80608
347.5806,-0.1425781,0.4560547,0.6210938,-66.3125,8.03125,2.3125,0,0,0,0,0,0,93.56878,93.56877
347.6119,-0.1425781,0.4560547,0.6210938,-66.3125,8.03125,2.3125,0,0,0,0,0,0,93.56878,93.56877
347.6476,0.09960938,0.4345703,0.8515625,-69.53125,-3.625,-4.40625,0,0,0,0,0,0,84.99953,84.99953
347.6807,0.09960938,0.4345703,0.8515625,-69.53125,-3.625,-4.40625,0,0,0,0,0,0,84.99953,84.99953
347.7139,-0.1123047,0.5019531,0.9833984,-71.3125,15.0625,-5.625,0,0,0,0,0,0,74.6948,74.69481
347.7462,-0.1123047,0.5019531,0.9833984,-71.3125,15.0625,-5.625,0,0,0,0,0,0,74.6948,74.69481
347.7801,-0.2167969,0.4326172,0.953125,-65.4375,-5.3125,-11,0,0,0,0,0,0,71.97917,71.97915
347.8156,-0.2167969,0.4326172,0.953125,-65.4375,-5.3125,-11,0,0,0,0,0,0,71.97917,71.97917
347.8447,-0.09179688,0.2421875,1.056641,-35.84375,-8.75,-8.1875,0,0,0,0,0,0,71.97917,71.97917
347.8817,-0.09179688,0.2421875,1.056641,-35.84375,-8.75,-8.1875,0,0,0,0,0,0,69.17645,69.17645
347.9155,-0.09179688,0.2421875,1.056641,-35.84375,-8.75,-8.1875,0,0,0,0,0,0,69.17645,69.17645
347.9449,-0.04785156,0.06054688,1.079102,-31.5625,0.34375,-22.34375,0,0,0,0,0,0,69.17645,69.17645
347.9826,-0.1279297,0.1914063,1.083008,-14.96875,-23.5,-11.6875,0,0,0,0,0,0,73.79588,73.79588
348.0155,-0.1279297,0.1914063,1.083008,-14.96875,-23.5,-11.6875,0,0,0,0,0,0,80.04562,80.04562
348.0465,-0.1005859,0.07421875,1.133789,-10.6875,-12.34375,-11.84375,0,0,0,0,0,0,80.04562,80.04562
348.0807,-0.1005859,0.07421875,1.133789,-10.6875,-12.34375,-11.84375,0,0,0,0,0,0,87.35634,87.35633
348.1158,-0.1621094,0.1572266,1.03125,-6.71875,-3.90625,-10.15625,0,0,0,0,0,0,87.35634,87.35634
348.145,-0.1621094,0.1572266,1.03125,-6.71875,-3.90625,-10.15625,0,0,0,0,0,0,87.35634,87.35634
348.1822,-0.1621094,0.1572266,1.03125,-6.71875,-3.90625,-10.15625,0,0,0,0,0,0,92.98495,92.98495
348.2155,-0.1621094,0.1572266,1.03125,-6.71875,-3.90625,-10.15625,0,0,0,0,0,0,92.98495,92.98495
348.2464,-0.01660156,0.03417969,0.9433594,-0.4375,-14.0625,-7.46875,0,0,0,0,0,0,92.98495,92.98495
348.2829,-0.1113281,0.03222656,1.118164,-13.875,-2.75,-7.65625,0,0,0,0,0,0,98.47391,98.47391
348.3161,-0.1113281,0.03222656,1.118164,-13.875,-2.75,-7.65625,0,0,0,0,0,0,98.47391,98.47391
348.3465,-0.1552734,0,1.103516,-5.625,9.875,-9.15625,0,0,0,0,0,0,98.47391,98.47391
348.3826,-0.1552734,0,1.103516,-5.625,9.875,-9.15625,0,0,0,0,0,0,100.025,100.025
348.4156,0.01269531,0.09765625,1.02832,3.65625,-2.6875,-6.25,0,0,0,0,0,0,100.025,100.025
348.4472,0.01269531,0.09765625,1.02832,3.65625,-2.6875,-6.25,0,0,0,0,0,0,100.025,100.025
348.4827,-0.1835938,0.2597656,0.8212891,-2.46875,-1.53125,-5.3125,0,0,0,0,0,0,99.59811,99.59811
348.5171,-0.1835938,0.2597656,0.8212891,-2.46875,-1.53125,-5.3125,0,0,0,0,0,0,103.9003,103.9003
348.5474,-0.02929688,0.1064453,0.9667969,0.21875,-4.21875,-3.6875,0,0,0,0,0,0,103.9003,103.9003
348.5845,-0.02929688,0.1064453,0.9667969,0.21875,-4.21875,-3.6875,0,0,0,0,0,0,105.3563,105.3563
348.6175,-0.02929688,0.1064453,0.9667969,0.21875,-4.21875,-3.6875,0,0,0,0,0,0,105.3563,105.3563
348.6483,-0.1103516,0.09082031,0.7753906,4.5625,-3.25,-1.78125,0,0,0,0,0,0,105.3563,105.3563
348.6843,-0.1103516,0.09082031,0.7753906,4.5625,-3.25,-1.78125,0,0,0,0,0,0,105.6903,105.6903
348.7188,-0.1679688,0.06933594,1.011719,3.53125,-2.53125,-1.3125,0,0,0,0,0,0,105.6903,105.6903
348.748,-0.1679688,0.06933594,1.011719,3.53125,-2.53125,-1.3125,0,0,0,0,0,0,105.6903,105.6903
348.7848,-0.1513672,0.1220703,1.103516,4.6875,-6.3125,3.15625,0,0,0,0,0,0,105.1888,105.1888
348.8187,-0.1513672,0.1220703,1.103516,4.6875,-6.3125,3.15625,0,0,0,0,0,0,105.4937,105.4937
348.8484,-0.04101563,0.1884766,0.9609375,4.3125,-1.59375,0.71875,0,0,0,0,0,0,105.4937,105.4937
348.8843,-0.04101563,0.1884766,0.9609375,4.3125,-1.59375,0.71875,0,0,0,0,0,0,104.8994,104.8994
348.9176,-0.1054688,0.01367188,0.9746094,3.03125,-8.9375,9.5,0,0,0,0,0,0,104.8994,104.8994
348.9489,-0.1054688,0.01367188,0.9746094,3.03125,-8.9375,9.5,0,0,0,0,0,0,104.8994,104.8994
348.9847,-0.1054688,0.01367188,0.9746094,3.03125,-8.9375,9.5,0,0,0,0,0,0,103.6628,103.6628
349.0185,0.07421875,0.1660156,0.9697266,11.75,-6.125,11.34375,0,0,0,0,0,0,102.0116,102.0116
